customer_id,name,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_frequency
26,Arjun Joshi,19,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,14,PayPal,Annually,Young Adult,365
27,Rahul Joshi,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,13,Credit Card,Annually,Adult,365
28,Neha Patel,50,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,7,Bank Transfer,Every 3 Months,MiddleAge,90
29,Vihaan Gupta,29,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,41,PayPal,Every 3 Months,Young Adult,90
30,Arjun Patel,39,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,Weekly,Adult,7
31,Kabir Patel,61,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,16,Credit Card,Monthly,Senior,30
32,Sneha Das,42,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,45,Venmo,Monthly,Adult,30
33,Nisha Nair,66,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,37,Venmo,Annually,Senior,365
34,Priya Nair,44,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,45,Cash,Quarterly,Adult,90
35,Rahul Gupta,59,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,38,PayPal,Quarterly,Senior,90
36,Isha Patel,45,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly,MiddleAge,14
37,Tara Singh,33,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,44,PayPal,Fortnightly,Adult,14
38,Riya Gupta,32,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,10,PayPal,Weekly,Adult,7
39,Priya Khan,64,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,Senior,90
40,Sneha Das,68,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,18,Credit Card,Monthly,Senior,30
41,Riya Gupta,61,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,31,Debit Card,Quarterly,Senior,90
42,Meera Sharma,69,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,40,Venmo,Annually,Senior,365
43,Kabir Sharma,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,15,PayPal,Annually,Young Adult,365
44,Meera Reddy,54,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,19,PayPal,Fortnightly,MiddleAge,14
45,Isha Patel,68,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,45,PayPal,Weekly,Senior,7
46,Neha Joshi,24,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,25,PayPal,Annually,Young Adult,365
47,Meera Gupta,38,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,45,Cash,Quarterly,Adult,90
48,Dev Reddy,26,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,Weekly,Young Adult,7
49,Nisha Singh,56,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,38,Cash,Monthly,MiddleAge,30
50,Isha Singh,35,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,34,Debit Card,Bi-Weekly,Adult,14
51,Kabir Roy,21,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,39,Debit Card,Bi-Weekly,Young Adult,14
52,Riya Das,42,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,7,Credit Card,Quarterly,Adult,90
53,Aditya Reddy,31,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,26,Credit Card,Weekly,Young Adult,7
54,Aditya Reddy,67,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,35,Credit Card,Weekly,Senior,7
55,Rahul Gupta,26,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,35,Debit Card,Bi-Weekly,Young Adult,14
56,Rohan Roy,43,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,49,Credit Card,Annually,Adult,365
57,Dev Patel,70,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,46,Credit Card,Weekly,Senior,7
58,Vihaan Patel,19,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,17,Debit Card,Fortnightly,Young Adult,14
59,Rohan Singh,37,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,29,Venmo,Monthly,Adult,30
60,Kiran Joshi,45,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,4,Debit Card,Weekly,MiddleAge,7
61,Anaya Reddy,64,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,17,Cash,Weekly,Senior,7
62,Sneha Joshi,24,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,21,Credit Card,Every 3 Months,Young Adult,90
63,Nisha Roy,61,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,31,Credit Card,Fortnightly,Senior,14
64,Isha Roy,25,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,43,Credit Card,Weekly,Young Adult,7
65,Aarav Patel,64,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,18,Debit Card,Fortnightly,Senior,14
66,Riya Das,52,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,MiddleAge,90
67,Meera Patel,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,3,Venmo,Every 3 Months,Young Adult,90
68,Arjun Reddy,34,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,49,Debit Card,Monthly,Adult,30
69,Priya Khan,53,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,21,Cash,Every 3 Months,MiddleAge,90
70,Aarav Das,67,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,5,Cash,Weekly,Senior,7
71,Pooja Singh,57,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,32,Debit Card,Every 3 Months,MiddleAge,90
72,Pooja Patel,21,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,34,Bank Transfer,Annually,Young Adult,365
73,Arjun Roy,19,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,21,Bank Transfer,Every 3 Months,Young Adult,90
74,Tara Gupta,23,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,43,Bank Transfer,Bi-Weekly,Young Adult,14
75,Rohan Nair,59,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,3,Cash,Monthly,Senior,30
76,Priya Roy,21,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,21,Credit Card,Annually,Young Adult,365
77,Pooja Sharma,46,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,32,Venmo,Monthly,MiddleAge,30
78,Tara Nair,35,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,36,Debit Card,Fortnightly,Adult,14
79,Dev Sharma,43,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,50,Venmo,Fortnightly,Adult,14
80,Diya Nair,61,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,43,Bank Transfer,Every 3 Months,Senior,90
81,Arjun Gupta,51,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,24,Credit Card,Every 3 Months,MiddleAge,90
82,Vihaan Gupta,27,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,36,Credit Card,Every 3 Months,Young Adult,90
83,Aditya Patel,53,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,21,Credit Card,Every 3 Months,MiddleAge,90
84,Anaya Khan,31,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,34,Bank Transfer,Weekly,Young Adult,7
85,Anaya Roy,48,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,42,Bank Transfer,Every 3 Months,MiddleAge,90
86,Rohan Singh,65,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,2,Debit Card,Bi-Weekly,Senior,14
87,Dev Roy,32,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,47,Cash,Bi-Weekly,Adult,14
88,Priya Das,25,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,44,Debit Card,Fortnightly,Young Adult,14
89,Pooja Joshi,31,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,35,Credit Card,Monthly,Young Adult,30
90,Kiran Gupta,40,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,15,Cash,Quarterly,Adult,90
91,Riya Gupta,57,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,29,Credit Card,Monthly,MiddleAge,30
92,Arjun Reddy,38,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,18,Credit Card,Every 3 Months,Adult,90
93,Rahul Khan,33,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,13,Venmo,Every 3 Months,Adult,90
94,Pooja Khan,62,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,46,Credit Card,Weekly,Senior,7
95,Diya Gupta,35,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,28,Credit Card,Weekly,Adult,7
96,Kabir Patel,64,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,48,PayPal,Monthly,Senior,30
97,Meera Sharma,70,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,43,Venmo,Every 3 Months,Senior,90
98,Aditya Roy,41,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,37,Cash,Annually,Adult,365
99,Kabir Joshi,43,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,20,Bank Transfer,Annually,Adult,365
100,Kabir Sharma,42,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,33,Debit Card,Quarterly,Adult,90
101,Anaya Sharma,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,31,Cash,Fortnightly,Senior,14
102,Kabir Patel,58,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,50,Credit Card,Bi-Weekly,Senior,14
103,Vihaan Nair,46,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,35,Credit Card,Quarterly,MiddleAge,90
104,Anaya Roy,32,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,22,Venmo,Bi-Weekly,Adult,14
105,Kabir Das,62,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,1,PayPal,Monthly,Senior,30
106,Dev Gupta,18,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,4,Bank Transfer,Annually,Young Adult,365
107,Riya Singh,42,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,31,Credit Card,Monthly,Adult,30
108,Aditya Joshi,24,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,46,PayPal,Fortnightly,Young Adult,14
109,Dev Gupta,26,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,32,Bank Transfer,Bi-Weekly,Young Adult,14
110,Dev Reddy,41,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,43,Bank Transfer,Fortnightly,Adult,14
111,Neha Patel,18,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Standard,Yes,26,Venmo,Fortnightly,Young Adult,14
112,Diya Reddy,61,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,9,Credit Card,Annually,Senior,365
113,Rahul Reddy,25,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,28,PayPal,Bi-Weekly,Young Adult,14
114,Kiran Khan,41,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,20,PayPal,Quarterly,Adult,90
115,Vihaan Patel,28,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,9,Cash,Weekly,Young Adult,7
116,Vihaan Reddy,68,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,48,Debit Card,Every 3 Months,Senior,90
117,Meera Patel,34,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,12,Venmo,Annually,Adult,365
118,Kabir Gupta,25,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,29,Cash,Fortnightly,Young Adult,14
119,Neha Roy,52,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,27,Cash,Bi-Weekly,MiddleAge,14
120,Nisha Singh,52,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,44,Cash,Annually,MiddleAge,365
121,Kiran Singh,50,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4.0,Yes,Express,Yes,32,Bank Transfer,Annually,MiddleAge,365
122,Isha Khan,22,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,11,Cash,Fortnightly,Young Adult,14
123,Kabir Patel,59,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,44,Cash,Fortnightly,Senior,14
124,Nisha Roy,56,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,46,Cash,Weekly,MiddleAge,7
125,Diya Sharma,58,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,50,PayPal,Annually,Senior,365
126,Riya Sharma,45,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,45,Venmo,Every 3 Months,MiddleAge,90
127,Anaya Gupta,24,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,48,Cash,Every 3 Months,Young Adult,90
128,Priya Reddy,26,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,26,Credit Card,Weekly,Young Adult,7
129,Dev Khan,25,Male,Scarf,Accessories,32,California,M,Gold,Spring,4.7,Yes,Standard,Yes,21,Credit Card,Fortnightly,Young Adult,14
130,Neha Reddy,29,Male,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,49,PayPal,Bi-Weekly,Young Adult,14
131,Vihaan Singh,51,Male,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,13,PayPal,Fortnightly,MiddleAge,14
132,Sneha Sharma,50,Male,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,46,Credit Card,Weekly,MiddleAge,7
133,Sneha Das,65,Male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,42,PayPal,Weekly,Senior,7
134,Nisha Das,40,Male,Sweater,Clothing,65,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,25,Venmo,Annually,Adult,365
135,Kiran Roy,41,Male,Hat,Accessories,94,Texas,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,25,Cash,Monthly,Adult,30
136,Dev Singh,54,Male,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.1,Yes,Express,Yes,12,PayPal,Quarterly,MiddleAge,90
137,Neha Das,52,Male,Blouse,Clothing,86,South Carolina,M,White,Winter,3.3,Yes,Free Shipping,Yes,4,Debit Card,Quarterly,MiddleAge,90
138,Neha Sharma,61,Male,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,38,PayPal,Weekly,Senior,7
139,Aditya Roy,57,Male,Skirt,Clothing,29,Georgia,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,42,Bank Transfer,Weekly,MiddleAge,7
140,Vihaan Nair,39,Male,Coat,Outerwear,95,Florida,M,White,Fall,3.8,Yes,Store Pickup,Yes,30,Venmo,Annually,Adult,365
141,Vihaan Sharma,44,Male,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,50,Credit Card,Weekly,Adult,7
142,Aditya Khan,52,Male,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,45,PayPal,Weekly,MiddleAge,7
143,Pooja Roy,18,Male,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,33,Credit Card,Fortnightly,Young Adult,14
144,Priya Sharma,52,Male,Coat,Outerwear,48,Missouri,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,25,PayPal,Quarterly,MiddleAge,90
145,Pooja Patel,54,Male,Shoes,Footwear,43,New Jersey,M,Silver,Fall,3.2,Yes,Express,Yes,25,Cash,Monthly,MiddleAge,30
146,Priya Patel,64,Male,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,Yes,Standard,Yes,44,Debit Card,Quarterly,Senior,90
147,Tara Patel,31,Male,Skirt,Clothing,30,Colorado,S,Black,Fall,4.0,Yes,Standard,Yes,21,Venmo,Fortnightly,Young Adult,14
148,Kabir Reddy,20,Male,Shoes,Footwear,64,Idaho,M,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,31,Bank Transfer,Fortnightly,Young Adult,14
149,Diya Joshi,18,Male,Gloves,Accessories,90,Wyoming,M,Gray,Fall,2.6,Yes,Store Pickup,Yes,47,Debit Card,Annually,Young Adult,365
150,Kabir Joshi,22,Male,Pants,Clothing,76,Delaware,M,White,Summer,3.2,Yes,Free Shipping,Yes,14,PayPal,Monthly,Young Adult,30
151,Tara Sharma,43,Male,Boots,Footwear,96,California,L,Cyan,Fall,4.9,Yes,Standard,Yes,17,Debit Card,Every 3 Months,Adult,90
152,Tara Patel,31,Male,Sunglasses,Accessories,47,North Dakota,L,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,3,Venmo,Annually,Young Adult,365
153,Kiran Joshi,56,Male,Shirt,Clothing,85,South Carolina,S,Brown,Summer,4.3,Yes,Express,Yes,42,Venmo,Annually,MiddleAge,365
154,Aditya Roy,44,Male,Hoodie,Clothing,55,North Carolina,M,Maroon,Winter,3.2,Yes,Standard,Yes,22,Debit Card,Annually,Adult,365
155,Meera Das,26,Male,Dress,Clothing,98,Oklahoma,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,21,Venmo,Quarterly,Young Adult,90
156,Neha Nair,32,Male,Socks,Clothing,77,Maine,S,Olive,Spring,4.3,Yes,Free Shipping,Yes,21,Bank Transfer,Quarterly,Adult,90
157,Kabir Das,32,Male,Shorts,Clothing,26,Missouri,M,Lavender,Fall,4.0,Yes,Standard,Yes,40,Debit Card,Annually,Adult,365
158,Sneha Singh,43,Male,Hat,Accessories,68,Vermont,S,Yellow,Fall,3.0,Yes,Next Day Air,Yes,1,Bank Transfer,Fortnightly,Adult,14
159,Arjun Khan,59,Male,Shirt,Clothing,73,Connecticut,XL,Teal,Fall,4.1,Yes,Standard,Yes,50,Bank Transfer,Monthly,Senior,30
160,Meera Patel,30,Male,Gloves,Accessories,27,New Hampshire,M,Charcoal,Fall,3.8,Yes,Store Pickup,Yes,39,Bank Transfer,Every 3 Months,Young Adult,90
161,Aarav Khan,68,Male,Gloves,Accessories,23,Texas,M,Orange,Summer,4.6,Yes,Free Shipping,Yes,34,Venmo,Monthly,Senior,30
162,Tara Joshi,49,Male,Backpack,Accessories,49,North Dakota,M,Olive,Fall,3.0,Yes,Express,Yes,29,Venmo,Fortnightly,MiddleAge,14
163,Diya Patel,56,Male,Sunglasses,Accessories,74,California,M,Turquoise,Summer,3.0,Yes,Store Pickup,Yes,31,PayPal,Bi-Weekly,MiddleAge,14
164,Riya Gupta,66,Male,Skirt,Clothing,67,Virginia,M,Purple,Summer,3.4,Yes,Standard,Yes,8,Debit Card,Weekly,Senior,7
165,Pooja Das,69,Male,Handbag,Accessories,65,Delaware,S,Purple,Spring,2.6,Yes,Free Shipping,Yes,5,Credit Card,Fortnightly,Senior,14
166,Rohan Nair,49,Male,Handbag,Accessories,60,Kentucky,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,7,Cash,Monthly,MiddleAge,30
167,Anaya Gupta,21,Male,Sneakers,Footwear,31,Delaware,XL,Indigo,Fall,4.0,Yes,Store Pickup,Yes,30,Cash,Monthly,Young Adult,30
168,Rahul Das,47,Male,Gloves,Accessories,27,Arkansas,M,Green,Fall,4.0,Yes,Express,Yes,14,Credit Card,Every 3 Months,MiddleAge,90
169,Priya Khan,54,Male,Shoes,Footwear,80,Louisiana,M,Magenta,Summer,3.0,Yes,Express,Yes,5,Cash,Fortnightly,MiddleAge,14
